priority,score,system,year,project_document,why_it_matters,captures,unique_versions,mime_type,original,archive_exact,archive_history
HIGH,8,Water,2025,2008.pdf,priority category; infrastructure/money keyword; document/PDF,4,1,application/pdf,https://www.copperascovetx.gov/files/water/2008.pdf,https://web.archive.org/web/20250209020608/https://www.copperascovetx.gov/files/water/2008.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2008.pdf
HIGH,8,Water,2025,2009.pdf,priority category; infrastructure/money keyword; document/PDF,4,1,application/pdf,https://www.copperascovetx.gov/files/water/2009.pdf,https://web.archive.org/web/20250209021220/https://www.copperascovetx.gov/files/water/2009.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2009.pdf
HIGH,8,Water,2025,2011.pdf,priority category; infrastructure/money keyword; document/PDF,4,1,application/pdf,https://www.copperascovetx.gov/files/water/2011.pdf,https://web.archive.org/web/20250209021134/https://www.copperascovetx.gov/files/water/2011.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2011.pdf
HIGH,8,Water,2025,2012.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/water/2012.pdf,https://web.archive.org/web/20250209021042/https://www.copperascovetx.gov/files/water/2012.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2012.pdf
HIGH,8,Water,2025,2015 22 Rescinding Stage 1 Water Restrictions PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1160/2015-22-Rescinding-Stage-1-Water-Restrictions-PDF,https://web.archive.org/web/20250925205940/https://www.copperascovetx.gov/DocumentCenter/View/1160/2015-22-Rescinding-Stage-1-Water-Restrictions-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1160/2015-22-Rescinding-Stage-1-Water-Restrictions-PDF
HIGH,8,Water,2025,2015.PDF,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/water/2015.PDF,https://web.archive.org/web/20250209021903/https://www.copperascovetx.gov/files/water/2015.PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2015.PDF
HIGH,8,Water,2025,2016.PDF,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/water/2016.PDF,https://web.archive.org/web/20250209021851/https://www.copperascovetx.gov/files/water/2016.PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2016.PDF
HIGH,8,Water,2025,2017 12 Rescind Stage 4 Water Restrictions PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1058/2017-12-Rescind-Stage-4-Water-Restrictions-PDF,https://web.archive.org/web/20250925213019/https://www.copperascovetx.gov/DocumentCenter/View/1058/2017-12-Rescind-Stage-4-Water-Restrictions-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1058/2017-12-Rescind-Stage-4-Water-Restrictions-PDF
HIGH,8,Water,2025,2018 14 Water Line Easement 5 Hills Subdivision PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1015/2018-14-Water-Line-Easement-5-Hills-Subdivision-PDF,https://web.archive.org/web/20250927061030/https://www.copperascovetx.gov/DocumentCenter/View/1015/2018-14-Water-Line-Easement-5-Hills-Subdivision-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1015/2018-14-Water-Line-Easement-5-Hills-Subdivision-PDF
HIGH,8,Water,2025,2018 29 Kempner Water Supply Corp Settlement PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1028/2018-29-Kempner-Water-Supply-Corp-Settlement-PDF,https://web.archive.org/web/20250928083621/https://www.copperascovetx.gov/DocumentCenter/View/1028/2018-29-Kempner-Water-Supply-Corp-Settlement-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1028/2018-29-Kempner-Water-Supply-Corp-Settlement-PDF
HIGH,8,Water,2025,2019.PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,http://www.copperascovetx.gov/files/water/2019.PDF,https://web.archive.org/web/20250210164340/http://www.copperascovetx.gov/files/water/2019.PDF,https://web.archive.org/web/*/http://www.copperascovetx.gov/files/water/2019.PDF
HIGH,8,Water,2025,2020 MS4 Annual Report Final.pdf,priority category; infrastructure/money keyword; document/PDF,4,1,application/pdf,https://www.copperascovetx.gov/files/public_works/stormwater/2020_MS4_Annual_Report_Final.pdf,https://web.archive.org/web/20250208161758/https://www.copperascovetx.gov/files/public_works/stormwater/2020_MS4_Annual_Report_Final.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/public_works/stormwater/2020_MS4_Annual_Report_Final.pdf
HIGH,8,Water,2025,2020.PDF,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/water/2020.PDF,https://web.archive.org/web/20250209022048/https://www.copperascovetx.gov/files/water/2020.PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2020.PDF
HIGH,8,Water,2025,2021 32 Authorizing a Treated Water Capacity Designation and Commitment to Bell County District Number 1 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/894/2021-32-Authorizing-a-Treated-Water-Capacity-Designation-and-Commitment-to-Bell-County-District-Number-1-PDF,https://web.archive.org/web/20250927104648/https://www.copperascovetx.gov/DocumentCenter/View/894/2021-32-Authorizing-a-Treated-Water-Capacity-Designation-and-Commitment-to-Bell-County-District-Number-1-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/894/2021-32-Authorizing-a-Treated-Water-Capacity-Designation-and-Commitment-to-Bell-County-District-Number-1-PDF
HIGH,8,Water,2025,2021.PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/water/2021.PDF,https://web.archive.org/web/20250209044820/https://www.copperascovetx.gov/files/water/2021.PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2021.PDF
HIGH,8,Water,2025,2022 21 Addendum Number 6 To Amended and Restated Water Supply Contract PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/861/2022-21-Addendum-Number-6-To-Amended-and-Restated-Water-Supply-Contract-PDF,https://web.archive.org/web/20250928212543/https://www.copperascovetx.gov/DocumentCenter/View/861/2022-21-Addendum-Number-6-To-Amended-and-Restated-Water-Supply-Contract-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/861/2022-21-Addendum-Number-6-To-Amended-and-Restated-Water-Supply-Contract-PDF
HIGH,8,Water,2025,2022.PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/water/2022.PDF,https://web.archive.org/web/20250209045845/https://www.copperascovetx.gov/files/water/2022.PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2022.PDF
HIGH,8,Water,2025,2023.PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/water/2023.PDF,https://web.archive.org/web/20250209021213/https://www.copperascovetx.gov/files/water/2023.PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/water/2023.PDF
HIGH,8,Water,2025,2024 04 Authorizing a Treated Water Capacity Designation and Commitment to Bell County Water Control PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/788/2024-04-Authorizing-a-Treated-Water-Capacity-Designation-and-Commitment-to-Bell-County-Water-Control-PDF,https://web.archive.org/web/20250925213212/https://www.copperascovetx.gov/DocumentCenter/View/788/2024-04-Authorizing-a-Treated-Water-Capacity-Designation-and-Commitment-to-Bell-County-Water-Control-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/788/2024-04-Authorizing-a-Treated-Water-Capacity-Designation-and-Commitment-to-Bell-County-Water-Control-PDF
HIGH,8,Water,2025,2024 22 Supporting State Legislation to Create a Regional Water Authority PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/806/2024-22-Supporting-State-Legislation-to-Create-a-Regional-Water-Authority-PDF,https://web.archive.org/web/20250928101737/https://www.copperascovetx.gov/DocumentCenter/View/806/2024-22-Supporting-State-Legislation-to-Create-a-Regional-Water-Authority-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/806/2024-22-Supporting-State-Legislation-to-Create-a-Regional-Water-Authority-PDF
HIGH,8,Water,2025,2025 Storm Water Management Plan PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/2356/2025-Storm-Water-Management-Plan-PDF,https://web.archive.org/web/20250928100017/https://www.copperascovetx.gov/DocumentCenter/View/2356/2025-Storm-Water-Management-Plan-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/2356/2025-Storm-Water-Management-Plan-PDF
HIGH,8,Water,2025,Backflow registration form NEW.pdf,priority category; infrastructure/money keyword; document/PDF,4,1,application/pdf,https://www.copperascovetx.gov/files/forms/water/Backflow%20registration%20form_NEW.pdf,https://web.archive.org/web/20250203090927/https://www.copperascovetx.gov/files/forms/water/Backflow%20registration%20form_NEW.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/forms/water/Backflow%20registration%20form_NEW.pdf
HIGH,8,Water,2025,Belton Water Plant Power Outage.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/05-22/Belton%20Water%20Plant%20Power%20Outage.pdf,https://web.archive.org/web/20250216161039/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Belton%20Water%20Plant%20Power%20Outage.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Belton%20Water%20Plant%20Power%20Outage.pdf
HIGH,8,Water,2025,Boil Water Notice 02 07 22.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/02-22/Boil%20Water%20Notice%2002-07-22.pdf,https://web.archive.org/web/20250216085639/https://www.copperascovetx.gov/files/pio/press_releases/02-22/Boil%20Water%20Notice%2002-07-22.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/02-22/Boil%20Water%20Notice%2002-07-22.pdf
HIGH,8,Water,2025,Boil Water Notice 02 17 2021.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Notice%2002-17-2021.pdf,https://web.archive.org/web/20250210192709/https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Notice%2002-17-2021.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Notice%2002-17-2021.pdf
HIGH,8,Water,2025,Boil Water Notice 03 23 2022.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notice%2003-23-2022.pdf,https://web.archive.org/web/20250216094344/https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notice%2003-23-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notice%2003-23-2022.pdf
HIGH,8,Water,2025,Boil Water Notice 05 08 2022.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-08-2022.pdf,https://web.archive.org/web/20250210191529/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-08-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-08-2022.pdf
HIGH,8,Water,2025,Boil Water Notice 05 10 22.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-10-22.pdf,https://web.archive.org/web/20250216143000/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-10-22.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-10-22.pdf
HIGH,8,Water,2025,Boil Water Notice 05 3 2022.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-3-2022.pdf,https://web.archive.org/web/20250212044742/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-3-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%2005-3-2022.pdf
HIGH,8,Water,2025,Boil Water Notice 06 27 2022.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/06-22/Boil%20Water%20Notice%2006-27-2022.pdf,https://web.archive.org/web/20250208184419/https://www.copperascovetx.gov/files/pio/press_releases/06-22/Boil%20Water%20Notice%2006-27-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/06-22/Boil%20Water%20Notice%2006-27-2022.pdf
HIGH,8,Water,2025,Boil Water Notice 08 05 22.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/08-22/Boil%20Water%20Notice%2008-05-22.pdf,https://web.archive.org/web/20250210234744/https://www.copperascovetx.gov/files/pio/press_releases/08-22/Boil%20Water%20Notice%2008-05-22.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/08-22/Boil%20Water%20Notice%2008-05-22.pdf
HIGH,8,Water,2025,Boil Water Notice 08 28 2021.pdf,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/08-21/Boil%20Water%20Notice%2008-28-2021.pdf,https://web.archive.org/web/20250210203620/https://www.copperascovetx.gov/files/pio/press_releases/08-21/Boil%20Water%20Notice%2008-28-2021.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/08-21/Boil%20Water%20Notice%2008-28-2021.pdf
HIGH,8,Water,2025,Boil Water Notice Lifted 05 04 2022.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-04-2022.pdf,https://web.archive.org/web/20250210221151/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-04-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-04-2022.pdf
HIGH,8,Water,2025,Boil Water Notice Lifted 05 10 2022.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-10-2022.pdf,https://web.archive.org/web/20250210192115/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-10-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-10-2022.pdf
HIGH,8,Water,2025,Boil Water Notice Lifted 05 12 2022.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-12-2022.pdf,https://web.archive.org/web/20250216154551/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-12-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Boil%20Water%20Notice%20Lifted%2005-12-2022.pdf
HIGH,8,Water,2025,Boil Water Notice Lifted 08 09 2022.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/08-22/Boil%20Water%20Notice%20Lifted%2008-09-2022.pdf,https://web.archive.org/web/20250210202819/https://www.copperascovetx.gov/files/pio/press_releases/08-22/Boil%20Water%20Notice%20Lifted%2008-09-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/08-22/Boil%20Water%20Notice%20Lifted%2008-09-2022.pdf
HIGH,8,Water,2025,Boil Water Notice Rescinded 02 23 2021.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Notice%20Rescinded%2002-23-2021.pdf,https://web.archive.org/web/20250811005313/https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Notice%20Rescinded%2002-23-2021.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Notice%20Rescinded%2002-23-2021.pdf
HIGH,8,Water,2025,Boil Water Notice Rescinded 08 18 2024.pdf,priority category; infrastructure/money keyword; document/PDF,8,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/08-24/Boil%20Water%20Notice%20Rescinded%2008-18-2024.pdf,https://web.archive.org/web/20250215154211/https://www.copperascovetx.gov/files/pio/press_releases/08-24/Boil%20Water%20Notice%20Rescinded%2008-18-2024.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/08-24/Boil%20Water%20Notice%20Rescinded%2008-18-2024.pdf
HIGH,8,Water,2025,Boil Water Notification 03 14 2022.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notification%2003-14-2022.pdf,https://web.archive.org/web/20250216154249/https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notification%2003-14-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notification%2003-14-2022.pdf
HIGH,8,Water,2025,Boil Water Notification Recall 03 16 22.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notification%20Recall%2003-16-22.pdf,https://web.archive.org/web/20250208185250/https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notification%20Recall%2003-16-22.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Notification%20Recall%2003-16-22.pdf
HIGH,8,Water,2025,Boil Water Rescind Notice 03 25 22.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Rescind%20Notice%2003-25-22.pdf,https://web.archive.org/web/20250203024126/https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Rescind%20Notice%2003-25-22.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/03-22/Boil%20Water%20Rescind%20Notice%2003-25-22.pdf
HIGH,8,Water,2025,Boil Water Rescind Notice 04 24 2021.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/04-21/Boil%20Water%20Rescind%20Notice%2004-24-2021.pdf,https://web.archive.org/web/20250210195740/https://www.copperascovetx.gov/files/pio/press_releases/04-21/Boil%20Water%20Rescind%20Notice%2004-24-2021.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/04-21/Boil%20Water%20Rescind%20Notice%2004-24-2021.pdf
HIGH,8,Water,2025,Boil Water Rescind Notice 06 29 2022.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/06-22/Boil%20Water%20Rescind%20Notice%2006-29-2022.pdf,https://web.archive.org/web/20250203015943/https://www.copperascovetx.gov/files/pio/press_releases/06-22/Boil%20Water%20Rescind%20Notice%2006-29-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/06-22/Boil%20Water%20Rescind%20Notice%2006-29-2022.pdf
HIGH,8,Water,2025,Boil Water Rescind Notice.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Rescind%20Notice.pdf,https://web.archive.org/web/20250208211326/https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Rescind%20Notice.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/02-21/Boil%20Water%20Rescind%20Notice.pdf
HIGH,8,Water,2025,City of Copperas Cove Stage 4B Water Restrictions Rescinded 02 22 2021.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/02-21/City%20of%20Copperas%20Cove%20Stage%204B%20Water%20Restrictions%20Rescinded%2002-22-2021.pdf,https://web.archive.org/web/20250212044822/https://www.copperascovetx.gov/files/pio/press_releases/02-21/City%20of%20Copperas%20Cove%20Stage%204B%20Water%20Restrictions%20Rescinded%2002-22-2021.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/02-21/City%20of%20Copperas%20Cove%20Stage%204B%20Water%20Restrictions%20Rescinded%2002-22-2021.pdf
HIGH,8,Water,2025,City of Copperas Cove – Update on Water System Conversion to Free Chlorine 10 25 2021.pdf,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/10-21/City%20of%20Copperas%20Cove%20%E2%80%93%20Update%20on%20Water%20System%20Conversion%20to%20Free%20Chlorine%2010-25-2021.pdf,https://web.archive.org/web/20250203042609/https://www.copperascovetx.gov/files/pio/press_releases/10-21/City%20of%20Copperas%20Cove%20%E2%80%93%20Update%20on%20Water%20System%20Conversion%20to%20Free%20Chlorine%2010-25-2021.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/10-21/City%20of%20Copperas%20Cove%20%E2%80%93%20Update%20on%20Water%20System%20Conversion%20to%20Free%20Chlorine%2010-25-2021.pdf
HIGH,8,Water,2025,Drinking Water Disinfection and the Free Chlorine Conversion Process FA Qs PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/2180/Drinking-Water-Disinfection-and-the-Free-Chlorine-Conversion-Process-FA-Qs-PDF,https://web.archive.org/web/20250926090937/https://www.copperascovetx.gov/DocumentCenter/View/2180/Drinking-Water-Disinfection-and-the-Free-Chlorine-Conversion-Process-FA-Qs-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/2180/Drinking-Water-Disinfection-and-the-Free-Chlorine-Conversion-Process-FA-Qs-PDF
HIGH,8,Water,2025,Emergency Water Restrictions Stage 4B Ordered 05 07 2022.pdf,priority category; infrastructure/money keyword; document/PDF,4,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/05-22/Emergency%20Water%20Restrictions%20Stage%204B%20Ordered%2005-07-2022.pdf,https://web.archive.org/web/20250212050906/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Emergency%20Water%20Restrictions%20Stage%204B%20Ordered%2005-07-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/05-22/Emergency%20Water%20Restrictions%20Stage%204B%20Ordered%2005-07-2022.pdf
HIGH,8,Water,2025,KCCB Waterway Clean Up 02 26 2021.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/02-21/KCCB%20Waterway%20Clean%20Up%2002-26-2021.pdf,https://web.archive.org/web/20250216154706/https://www.copperascovetx.gov/files/pio/press_releases/02-21/KCCB%20Waterway%20Clean%20Up%2002-26-2021.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/02-21/KCCB%20Waterway%20Clean%20Up%2002-26-2021.pdf
HIGH,8,Water,2025,KCCB Waterway Cleanup 02 07 2020.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/02-20/KCCB%20Waterway%20Cleanup%2002-07-2020.pdf,https://web.archive.org/web/20250210230444/https://www.copperascovetx.gov/files/pio/press_releases/02-20/KCCB%20Waterway%20Cleanup%2002-07-2020.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/02-20/KCCB%20Waterway%20Cleanup%2002-07-2020.pdf
HIGH,8,Water,2025,KCCB Waterway Cleanup 02 25 2022.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/02-22/KCCB%20Waterway%20Cleanup%2002-25-2022.pdf,https://web.archive.org/web/20250210232633/https://www.copperascovetx.gov/files/pio/press_releases/02-22/KCCB%20Waterway%20Cleanup%2002-25-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/02-22/KCCB%20Waterway%20Cleanup%2002-25-2022.pdf
HIGH,8,Water,2025,KCCB waterway cleanup.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/04-19/KCCB_waterway_cleanup.pdf,https://web.archive.org/web/20250216153243/https://www.copperascovetx.gov/files/pio/press_releases/04-19/KCCB_waterway_cleanup.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/04-19/KCCB_waterway_cleanup.pdf
HIGH,8,Water,2025,Low Income Household Water Assistance Program 06 23 2022.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/06-22/Low-Income%20Household%20Water%20Assistance%20Program%2006-23-2022.pdf,https://web.archive.org/web/20250203015812/https://www.copperascovetx.gov/files/pio/press_releases/06-22/Low-Income%20Household%20Water%20Assistance%20Program%2006-23-2022.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/06-22/Low-Income%20Household%20Water%20Assistance%20Program%2006-23-2022.pdf
HIGH,8,Water,2025,Mountain Top Pressure Loss Boil Water Notice Issued 09 08 2025 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/4650/Mountain-Top-Pressure-Loss--Boil-Water-Notice-Issued-09-08-2025-PDF,https://web.archive.org/web/20250929065908/https://www.copperascovetx.gov/DocumentCenter/View/4650/Mountain-Top-Pressure-Loss--Boil-Water-Notice-Issued-09-08-2025-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/4650/Mountain-Top-Pressure-Loss--Boil-Water-Notice-Issued-09-08-2025-PDF
